快捷键             命令                说明                  
Ctrl+8          用户剪贴板 8           设置用户剪贴板 8 活动
Ctrl+9          用户剪贴板 9           激活用户剪贴板 9
Ctrl+A          全选(A)             选择整个文档
Ctrl+B          选择到匹配括号(M)        选择到匹配括号
Ctrl+C          复制(C)             复制选择并置于剪贴板
Ctrl+D          用户工具 2            用户工具 2
Ctrl+DEL        删除下一个词语           删除下一个词语
Ctrl+E          删除行(L)            删除行
Ctrl+F          快速查找(Q)           激活快速查找窗口
Ctrl+F10        下一个面板(X)          跳转到上一个面板
Ctrl+F11        删除到行首(S)          删除到行首
Ctrl+F12        删除到行尾(E)          删除到行尾
Ctrl+F2         切换书签(B)           在文件中切换书签
Ctrl+F3         查找上一个(V)          查找上一个出现的字符串
Ctrl+F4         关闭(C)             关闭活动文档
Ctrl+F4         关闭作用中文件窗口         关闭作用中文件窗口
Ctrl+F5         转为小写字母(L)         改变选定文字为小写
Ctrl+F6         下一个窗口(N)          切换到下一个文档窗口
Ctrl+F7         在输出窗口和活动编辑窗口间切换焦点 在输出窗口和活动编辑窗口间切换焦点
Ctrl+F8         标签列表(A)           查看标签列表
Ctrl+F9         上一个 DOS 命令(L)     重复上一个 DOS 命令
Ctrl+G          转到行/页(G)          转到行号或地址 (十六进制模式)
Ctrl+H          十六进制编辑(H)         在十六进制和 ASCII 编辑模式间切换
Ctrl+I          文字字符（i）           插入文本
Ctrl+INS        复制(C)             复制选择并置于剪贴板
Ctrl+J          选择词语(W)           选择词语
Ctrl+K          拼写检查(K)           拼写检查选择区域或文件
Ctrl+L          播放任意/多次(M)        按指定的次数播放宏
Ctrl+M          再次播放(P)           重新播放先前录制的宏
Ctrl+N          新建(N)             创建一个新文档
Ctrl+O          打开(O)             打开一个现有的文档
Ctrl+P          打印(P)             打印活动文档
Ctrl+P, Ctrl+S  连续选择              连续选择
Ctrl+Q          快速打开(Q)           快速打开现有的文档
Ctrl+R          替换(R)             用其它文字替换指定的文字
Ctrl+RETURN     行(L)              插入行
Ctrl+S          保存(S)             保存活动文档
Ctrl+Shift+/    删除注释(R)           删除注释
Ctrl+Shift+0    用户工具 10           用户工具 10
Ctrl+Shift+1    用户工具 1            用户工具 1
Ctrl+Shift+2    用户工具 2            用户工具 2
Ctrl+Shift+3    用户工具 3            用户工具 3
Ctrl+Shift+4    用户工具 4            用户工具 4
Ctrl+Shift+5    用户工具 5            用户工具 5
Ctrl+Shift+6    用户工具 6            用户工具 6
Ctrl+Shift+7    用户工具 7            用户工具 7
Ctrl+Shift+8    用户工具 8            用户工具 8
Ctrl+Shift+9    用户工具 9            用户工具 9
Ctrl+Shift+A    插入字符 "?" or "?"   插入字符 "?" or "?"
Ctrl+Shift+F    在文件中查找(I)         在文件中查找文字
Ctrl+Shift+F4   关闭所有文件(F)         关闭所有文件
Ctrl+Shift+F6   上一个窗口(P)          切换到上一个文档窗口
Ctrl+Shift+I    快速查找(Q)           激活快速查找窗口
Ctrl+Shift+P    在文件中替换(P)         在文件中替换
Ctrl+Shift+V    粘贴和复制             粘贴和复制
Ctrl+Shift+Z    脚本                命令码...
Ctrl+Shift+上箭头  上一个信息             上一个信息
Ctrl+Shift+向下箭头 下一个信息             下一个信息
Ctrl+SPACE      自动完成              显示自动完成列表
Ctrl+T          段落格式重排(M)         段落格式重排为列换行
Ctrl+U          文件树视图             显示或隐藏文件树视图
Ctrl+V          粘贴(P)             插入剪贴板内容
Ctrl+W          切换自动换行(G)         设置自动换行模式
Ctrl+X          剪切(T)             剪切选择并置于剪贴板
Ctrl+Y          重做(O)             重做先前撤销的动作
Ctrl+Z          撤销(U)             撤销上一个动作
Ctrl+乘          全部展开              全部展开
Ctrl+减          隐藏/显示选区           隐藏/显示折叠线
Ctrl+上箭头        将显示内容向上滚动一行       将显示内容向上滚动一行
Ctrl+数字面板 1     转到上一个词语的尾部        转到上一个词语的尾部
Ctrl+数字面板 2     转到下一个词语的尾部        转到下一个词语的尾部
Ctrl+添加         全部折叠              全部折叠
Ctrl+退格符        删除当前/以前的词语        删除当前/以前的词语
Ctrl+向下箭头       将显示内容向下滚动一行       将显示内容向下滚动一行
F10             运行 Windows 程序(W)  运行一个 Windows 程序
F11             查找符号(Y)           在 CTAG 文件中查找符号
F12             另存为(A)            将活动文档以新名称保存
F2              下一个书签(K)          移动到文件中的下一个书签
F3              查找下一个(N)          查找下一个出现的字符串
F4              在树形视图和活动编辑窗口间切换焦点 在树形视图和活动编辑窗口间切换焦点
F5              首字母大写(A)          每个词的第一个字符为大写
F6              聚焦下一个窗格           切换到下一个窗格
F7              日期/时间（            插入日期和时间
F8              函数列表(L)           查看函数列表
F9              DOS 命令(D)         运行一个 dos 命令并捕获输出
Shift+DEL       剪切(T)             剪切选择并置于剪贴板
Shift+F1        启用帮助指示            点击按钮、菜单和窗口时显示帮助
Shift+F2        选择到下一个书签          移动到下一个书签并选择
Shift+F3        查找下一个(N)          查找下一个出现的字符串
Shift+F5        转换大小写(C)          转换选定字符串的大小写
Shift+F6        聚焦上一个窗格           切换回上一个窗格
Shift+INS       粘贴(P)             插入剪贴板内容
---------------+-----------------+--------------------
